id,PESCADO,CARNE-ROJA,POLLO,CERDO,CORDERO,CONEJO
1,true,false,true,false,true,true
2,true,false,true,false,true,false
3,true,false,false,true,true,false
4,true,true,false,true,false,false
5,false,false,false,false,false,true
6,false,false,false,false,true,false
7,false,true,false,true,true,false
8,true,true,false,false,true,false
9,true,false,false,true,false,false
10,false,false,true,true,false,true
11,true,true,false,false,true,true
12,true,true,true,false,true,false
13,false,false,false,true,false,true
14,true,false,false,true,false,false
15,false,false,false,true,true,true
16,false,true,false,true,false,true
17,false,false,true,true,false,true
18,false,false,false,true,false,true
19,false,true,false,true,false,false
20,false,true,false,false,true,true
21,false,false,true,true,false,true
22,false,true,false,true,false,false
23,true,true,true,false,true,false
24,true,false,false,true,true,false
25,true,true,false,false,true,false
26,false,false,false,false,true,false
27,false,true,true,true,false,true
28,true,false,true,false,true,true
29,true,true,false,true,false,false
30,false,false,true,false,true,false
31,true,true,false,false,true,false
32,true,true,false,false,false,false
33,true,true,true,true,false,false
34,true,false,false,true,true,true
35,false,false,false,true,true,true
36,true,false,true,false,true,false
37,false,false,true,true,true,false
38,true,true,true,true,true,true
39,true,true,false,false,false,false
40,false,false,false,true,false,false
41,false,true,true,true,false,true
42,true,false,false,false,false,true
43,true,false,false,false,true,false
44,false,false,true,false,true,false
45,false,false,true,false,false,false
46,true,true,true,true,false,false
47,true,false,true,false,false,true
48,false,true,false,false,true,false
49,false,false,false,true,true,true
50,true,false,true,true,false,false
51,true,false,true,true,false,true
52,true,true,true,true,true,true
53,false,true,true,false,false,false
54,false,false,true,true,true,false
55,true,false,false,false,false,true
56,true,false,true,false,true,true
57,true,true,true,true,false,false
58,true,false,false,false,false,false
59,false,false,true,false,false,true
60,false,false,true,false,false,true
61,true,true,true,false,true,true
62,true,false,false,true,true,true
63,false,true,false,false,true,false
64,true,true,true,true,true,true
65,false,true,true,false,false,true
66,false,true,true,false,false,true
67,false,true,false,false,true,true
68,true,true,false,false,true,false
69,false,true,true,true,true,false
70,true,true,true,true,true,false
71,false,false,false,true,true,false
72,true,true,false,false,true,true
73,false,true,true,false,false,false
74,true,false,false,false,false,false
75,true,false,false,false,true,false
76,true,true,true,false,true,true
77,false,false,true,false,true,false
78,true,true,false,true,true,true
79,false,false,false,true,true,true
80,true,false,false,false,true,true
81,true,false,false,false,false,true
82,false,true,false,true,false,false
83,true,true,false,false,false,false
84,true,true,true,true,false,true
85,false,true,false,true,true,true
86,false,true,false,true,true,false
87,false,true,false,false,true,false
88,false,true,false,true,false,true
89,true,true,true,false,false,true
90,false,true,false,false,false,false
91,true,true,false,true,false,false
92,false,false,true,false,false,false
93,true,false,true,true,true,true
94,false,false,true,true,true,true
95,true,true,true,true,false,false
96,false,false,false,false,false,false
97,false,false,true,true,false,false
98,false,true,true,false,true,true
99,true,false,false,false,true,true
100,true,true,false,false,true,true
101,false,false,false,true,false,true
102,true,true,false,true,true,false
103,true,true,true,false,true,true
104,false,false,true,false,true,true
105,false,true,true,true,false,false
106,true,false,false,false,true,true
107,true,true,false,true,false,false
108,true,false,false,false,false,true
109,false,true,false,true,false,false
110,true,true,true,true,true,true
111,true,false,true,true,false,false
112,false,false,false,false,true,false
113,false,false,true,true,false,false
114,true,false,true,true,false,false
115,false,false,false,true,false,false
116,false,false,true,true,true,false
117,false,true,false,true,true,false
118,true,false,true,false,true,false
119,false,true,true,true,true,false
120,true,true,false,false,false,true
121,true,false,true,true,true,false
122,true,false,false,false,true,false
123,true,true,false,true,true,true
124,true,true,false,false,true,false
125,true,true,false,true,false,false
126,true,false,true,true,true,true
127,false,false,false,true,true,true
128,true,false,true,true,true,true
129,true,true,true,false,true,false
130,true,false,false,true,true,true
131,true,false,true,true,false,true
132,false,false,true,false,true,false
133,true,false,true,true,true,false
134,false,false,true,false,false,true
135,false,false,false,false,false,true
136,true,false,true,true,false,true
137,true,false,false,true,true,true
138,true,false,true,true,false,true
139,false,false,true,true,true,false
140,true,true,false,false,false,false
141,true,false,false,false,false,false
142,false,true,false,true,false,true
143,false,true,true,false,false,false
144,true,false,false,false,true,false
145,false,true,false,false,true,true
146,true,true,true,true,false,false
147,true,true,false,true,true,false
148,true,false,true,true,true,true
149,true,true,false,true,false,false
150,true,true,true,false,false,true
151,false,true,false,true,false,false
152,false,false,true,true,true,true
153,true,true,false,true,false,true
154,false,true,true,true,true,true
155,true,false,false,true,true,true
156,true,false,false,true,true,true
157,false,true,true,true,false,false
158,false,true,false,false,false,true
159,false,true,true,false,false,false
160,true,true,true,false,true,false
161,true,true,false,false,true,true
162,false,false,false,false,false,false
163,false,true,false,true,false,true
164,false,true,true,false,false,false
165,true,false,true,false,false,true
166,true,true,true,true,false,true
167,true,true,false,true,true,false
168,true,false,true,false,false,true
169,false,false,false,false,true,false
170,true,true,false,false,false,false
171,false,true,true,false,false,true
172,false,true,true,true,false,false
173,true,true,false,true,false,false
174,true,true,false,true,true,false
175,true,true,true,false,true,true
176,true,false,false,false,false,false
177,false,true,false,false,true,true
178,true,true,true,true,false,false
179,false,true,false,true,true,false
180,false,false,true,true,true,false
181,false,true,true,false,true,true
182,false,false,true,false,false,false
183,false,true,false,false,false,true
184,false,true,false,false,false,true
185,true,false,false,false,true,false
186,true,false,true,false,false,false
187,false,true,true,false,false,false
188,true,false,false,true,true,true
189,true,true,true,true,false,false
190,false,false,false,true,false,false
191,true,false,true,false,false,false
192,true,true,false,false,false,true
193,false,false,true,true,true,false
194,false,false,true,true,false,true
195,false,false,false,true,true,true
196,false,false,false,true,true,false
197,false,true,false,false,false,false
198,false,false,true,false,true,false
199,true,false,true,true,true,true
200,true,false,false,false,false,false
201,false,true,false,false,true,false
202,true,true,false,true,true,false
203,false,true,true,true,false,true
204,true,true,true,false,false,true
205,false,false,true,false,false,true
206,false,false,true,false,true,false
207,false,false,true,true,false,true
208,true,true,true,false,true,true
209,false,true,true,false,true,true
210,true,true,false,true,false,true
211,false,false,false,true,true,false
212,true,false,false,true,false,false
213,true,false,false,true,true,false
214,false,true,false,true,false,false
215,true,false,false,true,false,true
216,false,false,false,false,true,false
217,true,true,false,true,false,true
218,false,true,true,false,true,false
219,false,false,false,true,true,false
220,false,true,true,false,false,true
221,true,true,false,false,false,true
222,false,false,true,false,false,true
223,true,false,false,false,true,true
224,false,false,true,false,false,false
225,false,true,true,true,false,false
226,false,true,false,true,false,false
227,true,false,false,false,true,false
228,true,true,true,false,false,false
229,false,true,false,false,true,false
230,true,false,true,true,true,true
231,true,false,false,false,true,true
232,true,false,true,false,false,true
233,false,true,true,false,true,true
234,true,true,true,true,false,false
235,false,true,true,true,false,true
236,true,false,false,false,false,true
237,true,false,false,false,false,true
238,true,true,true,false,false,false
239,true,true,false,false,false,true
240,true,false,false,true,false,false
241,true,false,false,false,true,false
242,true,true,false,false,false,true
243,false,true,false,false,false,true
244,true,false,false,false,false,true
245,false,true,false,true,false,false
246,false,false,false,false,false,true
247,false,false,false,true,false,false
248,true,true,true,false,false,true
249,true,false,false,true,false,false
250,true,false,false,true,true,true
251,false,false,true,true,true,false
252,false,true,false,false,true,false
253,false,false,true,false,false,true
254,false,true,false,true,true,false
255,true,false,true,true,true,true
256,false,false,false,true,true,true
257,false,true,true,true,true,true
258,false,false,false,false,false,true
259,true,false,true,false,false,true
260,true,true,true,false,true,false
261,true,false,true,false,true,true
262,true,false,true,true,false,true
263,false,false,false,false,false,true
264,false,false,true,false,true,false
265,false,true,true,false,true,true
266,false,false,true,false,true,false
267,true,true,false,false,false,true
268,true,true,false,false,true,true
269,false,true,true,false,false,true
270,true,true,false,false,false,true
271,true,false,true,false,false,false
272,true,true,true,false,true,true
273,true,true,true,false,true,false
274,true,true,false,false,false,false
275,false,true,true,true,false,true
276,false,true,true,true,false,false
277,true,false,false,true,false,true
278,true,false,false,false,true,false
279,false,false,false,true,false,true
280,true,true,true,false,true,false
281,false,false,true,false,true,true
282,false,true,false,false,false,true
283,true,false,false,true,true,true
284,true,false,true,false,true,true
285,false,false,true,false,true,false
286,true,true,false,false,true,true
287,true,true,false,false,true,false
288,true,true,true,false,true,true
289,false,true,true,false,true,true
290,true,true,true,true,true,false
291,true,false,false,true,false,true
292,false,true,false,true,true,true
293,false,false,true,true,true,true
294,true,true,false,true,false,true
295,false,false,false,false,false,false
296,true,false,false,false,false,false
297,false,false,true,true,true,true
298,false,false,true,false,true,false
